artist_name,artist_clean,billboard_year,rank,popularity,genres,decade,is_rock
The Platters,the platters,1955,29,0,['doo-wop'],1950,False
The Platters,the platters,1956,4,0,['doo-wop'],1950,False
The Platters,the platters,1956,12,0,['doo-wop'],1950,False
The Platters,the platters,1956,36,0,['doo-wop'],1950,False
Marty Robbins,marty robbins,1957,17,71,"['classic country', 'outlaw country']",1950,False
Marty Robbins,marty robbins,1957,17,64,"['classic country', 'outlaw country']",1950,False
Marty Robbins,marty robbins,1957,17,58,"['classic country', 'outlaw country']",1950,False
Chuck Berry,chuck berry,1957,22,74,"['rockabilly', 'rock and roll']",1950,False
Conway Twitty,conway twitty,1958,11,49,"['classic country', 'country', 'traditional country', 'outlaw country', 'honky tonk']",1950,False
The Platters,the platters,1958,16,0,['doo-wop'],1950,False
Chuck Berry,chuck berry,1958,29,74,"['rockabilly', 'rock and roll']",1950,False
Santo & Johnny,santo,1959,11,43,"['surf rock', 'exotica']",1950,False
The Platters,the platters,1959,16,0,['doo-wop'],1950,False
The Platters,the platters,1959,64,0,['doo-wop'],1950,False
Marty Robbins,marty robbins,1960,15,71,"['classic country', 'outlaw country']",1960,False
Marty Robbins,marty robbins,1960,15,64,"['classic country', 'outlaw country']",1960,False
Marty Robbins,marty robbins,1960,15,58,"['classic country', 'outlaw country']",1960,False
Conway Twitty,conway twitty,1960,38,49,"['classic country', 'country', 'traditional country', 'outlaw country', 'honky tonk']",1960,False
The Platters,the platters,1960,50,0,['doo-wop'],1960,False
Marty Robbins,marty robbins,1961,28,71,"['classic country', 'outlaw country']",1960,False
Marty Robbins,marty robbins,1961,28,64,"['classic country', 'outlaw country']",1960,False
Marty Robbins,marty robbins,1961,28,58,"['classic country', 'outlaw country']",1960,False
Ben E. King,ben e. king,1961,63,77,[],1960,False
Ben E. King,ben e. king,1961,64,77,[],1960,False
Booker T. & the M.G.'s,booker t.,1962,53,69,[],1960,False
Henry Mancini,henry mancini,1962,60,0,"['exotica', 'adult standards', 'easy listening']",1960,False
Kyu Sakamoto,kyu sakamoto,1963,10,26,"['kayokyoku', 'enka']",1960,False
The Ronettes,the ronettes,1963,35,73,['christmas'],1960,False
Henry Mancini,henry mancini,1963,37,0,"['exotica', 'adult standards', 'easy listening']",1960,False
Marvin Gaye,marvin gaye,1963,61,1,"['motown', 'classic soul', 'soul', 'northern soul', 'quiet storm']",1960,False
Johnny Cash,johnny cash,1963,69,47,"['classic country', 'outlaw country', 'country']",1960,False
The Beatles,the beatles,1964,1,58,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,58,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,66,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,82,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,57,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,0,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,58,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,57,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,77,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,54,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,56,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,75,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,54,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,65,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,51,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,55,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,27,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,58,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,68,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,1,62,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,2,58,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,2,58,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,2,66,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,2,82,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,2,57,"['classic rock', 'psychedelic rock']",1960,False
The Beatles,the beatles,1964,2,0,"['classic rock', 'psychedelic rock']",1960,False
