rank,track_name,artist_name,year
1,goodnight irene,gordon jenkins,1950
2,mona lisa,nat king cole,1950
3,third man theme,anton karas,1950
4,sam's song,gary,1950
5,simple melody,gary,1950
6,"music, music, music",teresa brewer,1950
7,third man theme,guy lombardo,1950
8,chattanoogie shoe shine boy,red foley,1950
9,harbor lights,sammy kaye,1950
10,it isn't fair,sammy kaye,1950
11,if i knew you were coming i'd have baked a cake,eileen barton,1950
12,bonaparte's retreat,kay starr,1950
13,"tzena, tzena, tzena",gordon jenkins,1950
14,there's no tomorrow,tony martin,1950
15,the thing,phil harris,1950
16,sentimental me,ames brothers,1950
17,i wanna be loved,andrews sisters,1950
18,tennessee waltz,patti page,1950
19,"i can dream, can't i",andrews sisters,1950
20,i'll never be free,tennessee ernie ford,1950
21,all my love,patti page,1950
22,my foolish heart,gordon jenkins,1950
23,rag mop,ames brothers,1950
24,bewitched,bill snyder,1950
25,hoop-dee-doo,perry como,1950
26,bewitched,gordon jenkins,1950
27,can anyone explain?,ames brothers,1950
28,my foolish heart,billy eckstine,1950
29,dear hearts and gentle people,bing crosby,1950
30,the cry of the wild goose,frankie laine,1950
1,too young,nat king cole,1951
2,because of you,tony bennett,1951
3,how high the moon,les paul,1951
4,come on-a my house,rosemary clooney,1951
5,be my love,mario lanza,1951
6,on top of old smoky,the weavers,1951
7,"cold, cold heart",tony bennett,1951
8,ataypura!,yma sumac,1951
9,the loveliest night of the year,mario lanza,1951
10,tennessee waltz,patti page,1951
11,jezebel,frankie laine,1951
12,i get ideas,tony martin,1951
13,mockin' bird hill,les paul,1951
14,mockin' bird hill,patti page,1951
15,my heart cries for you,guy mitchell,1951
16,(it's no) sin,eddy howard,1951
17,sound off,vaughn monroe,1951
18,sweet violets,dinah shore,1951
19,the world is waiting for the sunrise,les paul,1951
20,"my truly, truly fair",guy mitchell,1951
21,(it's no) sin,the four aces,1951
22,aba daba honeymoon,debbie reynolds,1951
23,"rose, rose, i love you",frankie laine,1951
24,down yonder,del wood,1951
25,i apologize,billy eckstine,1951
26,"would i love you (love you, love you)",patti page,1951
27,you're just in love,perry como,1951
28,undecided,ames brothers with the les brown orchestra,1951
29,the thing,phil harris,1951
30,because of you,les baxter,1951
1,blue tango,leroy anderson,1952
2,wheel of fortune,kay starr,1952
3,cry,johnnie ray,1952
4,you belong to me,jo stafford,1952
5,auf wiederseh'n sweetheart,vera lynn,1952
6,half as much,rosemary clooney,1952
7,wish you were here,eddie fisher,1952
8,i went to your wedding,patti page,1952
9,here in my heart,al martino,1952
10,delicado,percy faith,1952
11,kiss of fire,georgia gibbs,1952
12,anytime,eddie fisher,1952
13,tell me why,the four aces,1952
14,blacksmith blues,ella mae morse,1952
15,jambalaya (on the bayou),jo stafford,1952
16,botch-a-me (ba-ba-baciami piccina),rosemary clooney,1952
17,a guy is a guy,doris day,1952
18,the little white cloud that cried,johnnie ray,1952
19,high noon,frankie laine,1952
20,i'm yours,eddie fisher,1952
21,the glow-worm,mills brothers,1952
22,it's in the book,johnny standley,1952
23,slow poke,pee wee king,1952
